1	8,745.08
10	888,22,354.53
100	62,872.60
101	210,7,681.40
102	436,10,938.34
106	1403,25,670.30
107	10,154.42
108	842,23,452.55
109	2,114.73
11	435,10,506.29
111	15,160.39
112	4002,63,021.34
113	6,91.72
114	7,100.04
115	45,2,680.91
116	8484,120,874.03
117	285,14,122.07
118	12,942.91
119	983,23,691.75
120	52,909.45
121	1054,22,693.54
122	546,15,429.96
123	1364,29,361.06
124	343,9,695.05
125	2,18.72
126	630,13,496.10
127	1791,32,992.94
128	89,1,940.30
129	15993,201,804.34
13	16,317.17
130	9847,174,665.02
131	701,17,370.65
132	67,3,160.75
133	776,16,388.23
134	5278,78,984.09
135	684,14,907.56
136	1256,30,591.99
137	10,157.73
138	79,2,637.12
139	423,13,519.30
14	2187,61,020.19
140	16,313.28
141	9,78.69
142	35,471.81
143	3,21.89
144	1,7.80
145	6793,109,931.32
146	3231,42,312.03
147	611,15,157.67
148	5,69.65
149	1036,22,553.87
15	157,4,598.81
150	580,17,561.28
151	1,14.69
152	4122,54,687.05
153	214,2,773.11
154	30,589.29
155	1451,35,591.45
156	38,2,478.06
157	396,8,383.83
158	3,34.99
159	2126,35,490.89
16	390,10,137.70
160	369,7,887.17
161	29,442.98
162	37,485.49
163	26,282.61
164	24,340.55
165	1701,37,131.38
166	22047,290,913.03
167	1165,25,212.87
168	2061,36,989.45
169	1205,25,377.48
17	4422,71,744.86
170	31,726.58
171	375,11,009.78
172	7,384.93
173	1496,21,435.65
174	1831,40,178.76
175	254,7,334.37
176	2,84.61
177	1518,33,191.95
178	440,9,646.76
179	4401,59,936.80
18	1305,28,927.64
180	222,6,065.31
181	13846,207,261.66
182	1754,34,285.90
183	469,12,807.85
184	69,1,275.34
185	1112,22,070.27
186	25,374.74
187	4,263.74
188	3757,73,721.22
189	1688,27,091.51
19	315,8,123.07
190	392,6,786.22
191	1066,32,095.60
192	449,10,196.69
193	2670,31,025.95
194	27,495.93
195	822,21,866.00
196	4805,73,571.85
197	1635,52,022.71
198	524,12,258.38
20	662,14,595.11
200	652,19,671.69
201	50,2,972.38
202	77,2,842.93
203	357,12,422.13
204	3,179.44
205	1458,44,343.17
206	42,2,510.55
207	58,413.56
208	653,15,318.35
21	946,24,254.81
210	3226,62,398.48
211	6,70.60
212	1448,24,030.40
213	2067,47,893.81
214	13,797.87
215	1108,29,214.37
216	1117,30,548.83
217	679,12,383.48
218	859,24,227.34
219	309,12,218.17
22	1117,30,612.74
220	1390,31,272.97
221	31,2,110.17
222	1098,32,296.70
223	10242,130,479.62
224	1,9.36
225	3432,68,244.80
226	5003,85,241.88
227	745,20,532.28
228	1242,31,898.62
229	14,157.62
23	17,936.57
230	52,811.43
231	23,435.32
232	3,108.71
233	4,41.39
234	21,295.80
235	1559,38,205.55
236	1375,17,666.21
237	11,138.46
238	12,119.92
239	37,459.94
24	1832,22,065.61
240	111,2,664.24
241	747,16,854.54
242	2752,53,441.29
243	3198,61,845.11
244	15495,289,051.56
245	3,131.98
246	3,26.86
247	2292,36,179.83
248	729,14,792.32
249	11,101.56
25	12315,193,896.36
250	1118,23,784.58
251	26,1,396.31
252	205,6,071.08
253	19,815.68
254	1645,43,634.36
255	10253,154,615.36
256	3319,54,108.68
257	639,13,500.77
258	552,14,938.44
259	742,21,676.46
26	2032,45,514.80
260	12214,153,564.36
261	9,200.52
262	14,317.64
263	397,5,493.81
264	983,11,146.97
265	182,7,663.08
27	1,30.45
28	880,20,057.06
29	959,25,301.65
3	673,17,270.80
30	3,190.04
31	167,3,529.30
32	1078,28,938.89
33	14818,247,533.34
34	152,2,700.11
35	2674,61,665.37
36	1586,33,050.25
37	1883,39,719.95
38	420,16,593.01
39	2534,67,263.80
4	3,59.37
40	3106,46,598.59
41	33316,391,564.56
42	20507,265,915.66
43	7137,94,449.38
44	4,340.98
45	3,38.72
46	66,3,197.80
47	1034,23,024.88
48	42,552.19
49	5785,92,094.68
5	4,253.46
50	3,24.46
51	2063,61,828.09
52	5677,77,454.17
53	168,4,666.37
54	193,4,232.71
55	2035,71,135.43
56	1401,27,935.32
57	35,561.33
58	52,1,098.95
59	56,1,434.45
6	15,631.54
60	634,12,613.94
61	6980,124,602.84
62	1875,34,960.75
63	582,15,257.66
64	105,3,232.56
65	14543,232,200.78
66	10115,183,751.39
67	484,11,515.06
68	15,186.21
69	2514,48,556.86
7	25940,302,012.69
70	609,11,953.34
71	1837,40,681.32
72	2164,48,992.15
73	173,4,070.28
74	42811,552,244.50
75	39984,519,067.75
76	4360,113,208.48
77	1087,26,337.71
78	1237,29,124.30
79	23,292.58
8	5,122.77
80	2898,55,311.03
81	940,25,341.88
82	24695,309,116.56
83	3055,39,543.42
84	8,556.57
85	1180,25,948.09
86	297,17,100.07
87	14,301.77
88	8,263.97
89	3212,71,383.31
9	387,7,924.66
90	12,159.50
91	2263,51,303.42
92	4243,79,954.38
93	191,4,531.88
94	498,10,258.10
95	17102,240,985.58
96	29,719.12
97	17302,258,707.69
98	215,6,344.54
