1	95,8,762.14
10	434,24,684.00
100	22320,303,980.19
101	23,680.88
102	24,627.22
106	140,2,413.14
107	23572,295,786.75
108	28,968.50
109	3,51.28
11	19,683.96
111	2,14.18
112	385,6,512.55
113	15090,189,473.72
114	12882,174,164.33
115	3,118.80
116	1400,20,489.50
117	23,1,179.66
118	5,247.39
119	78,1,984.77
12	603,11,908.52
120	9,206.14
121	45,1,088.17
122	21,747.29
123	62,1,746.59
124	44,1,952.34
125	5137,70,837.96
126	41,999.92
127	117,2,639.45
128	7,168.45
129	739,11,916.19
13	8386,153,055.52
130	200,9,509.38
131	43,1,472.28
132	33927,1,915,906.63
133	62,1,576.25
134	97,3,014.87
135	77,2,464.28
136	70,1,563.30
137	14263,181,925.06
138	26770,1,031,231.44
139	36,1,216.87
14	110,3,119.35
140	19186,253,964.25
141	26262,298,334.16
142	31856,389,362.34
143	12401,148,656.75
144	10327,148,603.27
145	1171,23,968.38
146	1091,15,186.44
147	33,945.12
148	12854,197,922.36
149	45,913.59
15	13,400.41
150	21,617.14
151	10286,128,941.77
152	1021,14,619.38
153	29,652.09
154	8,339.14
155	79,2,287.39
156	6,500.43
157	85,3,709.31
158	9206,132,334.31
159	125,2,577.47
16	46,1,345.91
160	45,1,871.56
161	40751,565,799.69
162	33850,454,390.94
163	26688,379,656.09
164	24222,331,798.97
165	83,2,452.45
166	4558,63,389.18
167	63,1,333.57
168	315,5,359.02
169	70,1,806.13
17	275,4,749.48
170	31465,423,072.88
171	25,913.10
173	57,1,302.44
174	49,1,693.32
175	21,671.65
177	103,2,656.14
178	32,770.10
179	660,9,424.92
18	43,1,005.70
180	33,936.00
181	1022,18,684.75
182	59,1,835.61
183	21,911.66
184	3,243.73
185	39,844.42
186	37590,525,546.06
187	1,8.30
188	224,4,796.66
189	244,4,160.77
19	29,789.39
190	50,951.50
191	86,2,895.11
192	19,555.34
193	658,8,472.08
194	56,3,316.06
195	97,2,938.66
196	124,2,935.24
197	141,5,165.15
198	96,2,254.72
2	2,130.61
20	25,835.96
200	47,1,536.78
201	6,294.46
202	53,1,283.56
203	25,1,002.32
205	110,3,830.48
206	1,77.82
207	35,418.96
208	30,743.97
209	2082,39,783.15
21	41,1,193.67
210	85,2,414.62
211	8155,113,437.17
212	38,830.30
213	113,2,869.27
215	167,9,155.13
216	224,8,632.28
217	86,1,220.43
218	87,2,849.65
219	119,6,008.50
22	55,1,665.96
220	66,1,763.92
221	9,800.54
222	68,2,260.09
223	574,12,106.55
224	2554,33,641.33
225	207,5,077.20
226	1793,36,278.23
227	38,1,230.90
228	135,3,665.69
229	20541,252,078.47
23	7,356.64
230	35911,553,730.56
231	15535,238,173.94
232	1808,32,269.05
233	12537,177,023.47
234	29599,374,396.38
235	104,3,117.74
236	39002,448,280.13
237	40338,449,805.88
238	21492,258,714.58
239	29155,351,990.94
24	3136,41,414.96
240	8,291.24
241	42,1,055.31
242	69,1,610.63
243	281,5,991.12
244	1240,20,364.18
245	2,101.86
246	11690,158,693.16
247	167,3,050.18
248	31,813.16
249	19645,254,023.52
25	906,15,666.81
250	36,798.01
251	3,82.90
252	12,471.78
253	3,47.90
254	83,2,606.68
255	804,13,881.79
256	810,14,603.93
257	57,1,523.21
258	45,1,467.45
259	46,1,395.14
26	125,2,582.62
260	746,12,153.80
261	6472,125,094.10
262	12999,163,161.91
263	22163,259,475.94
264	18712,432,746.72
265	515,38,847.32
28	166,7,274.60
29	33,688.34
3	19,719.79
30	1,16.22
31	6,240.10
32	47,1,564.21
33	919,16,875.60
34	29,643.30
35	147,3,773.10
36	162,3,551.26
37	312,6,851.96
38	26,962.18
39	147,4,707.13
4	2200,31,725.06
40	457,7,538.42
41	4622,58,189.06
42	2248,31,045.61
43	16768,219,013.25
44	5,316.50
45	2321,38,314.58
46	6,242.82
47	51,1,056.94
48	34700,471,927.06
49	309,5,404.45
5	4,324.74
50	9202,123,913.91
51	112,3,661.65
52	476,8,127.34
53	23,792.87
54	32,586.54
55	51,1,463.68
56	73,2,527.63
57	6,239.96
58	2,23.55
59	9,212.05
6	4,289.78
60	38,811.06
61	366,7,674.15
62	114,2,328.85
63	40,850.18
64	7,229.24
65	1205,21,993.39
66	505,9,574.58
67	36,1,041.58
68	23466,320,585.28
69	134,2,999.03
7	1944,25,545.54
70	139,4,314.13
71	83,2,430.25
72	105,2,911.45
73	11,299.22
74	4604,57,032.59
75	8490,106,357.70
76	249,6,992.52
77	59,1,555.24
78	52,1,279.29
79	27661,366,674.72
8	9,178.10
80	494,9,813.33
81	44,1,140.78
82	400,8,440.85
83	160,2,720.42
85	69,1,596.88
86	20,1,152.93
87	6633,129,266.03
88	3682,75,542.70
89	206,5,668.69
9	27,646.87
90	17648,217,401.39
91	105,2,898.48
92	71,1,796.61
93	179,9,602.36
94	34,987.17
95	223,5,147.34
96	4,69.90
97	820,13,403.88
98	22,530.90
